id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,4.4662380793,-0.8710294978,-0.4873453920,-0.9698575242,-1.6895490245,0.2122461060
2,1.0000000000,0.1000000000,3.0023738615,-0.6445813888,-1.9806494125,0.1387695076,0.1788964838,0.6383448745
3,1.0000000000,0.1000000000,0.3362753707,-0.3938139474,1.8879804782,0.3299733754,0.2598962350,-0.3717565224
4,1.0000000000,0.1000000000,2.8122118632,-0.7128182837,-1.8924856254,0.3234571678,0.4611323664,0.6744991778
5,1.0000000000,0.1000000000,1.3114750649,-0.0747241477,0.5128491341,0.9665642459,0.1444513788,-0.0191611072
